Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2015-02-01T03:51:57,2015-02-01T03:55:08,2015-02-01T03:53:21,3.34,3.51,20.22,19.73,0.48,-0.18,0.49,236.0,0.0,0.0,0.00243,4.31e-06,3.72e-09,2e-07,5.05e-06,1.24e-08,7.86e-10,1.6e-09,1.62e-05,1.92e-07,9.28e-11,1.33e-09,2.37e-07,1.07e-10,7.45e-11,7.51e-11
2015-04-07T23:56:48,2015-04-07T23:59:34,2015-04-07T23:58:04,3.75,3.51,18.67,18.01,0.67,0.24,0.66,8.0,0.0,3.0,0.00294,1.35e-05,1.43e-09,2.05e-07,1.19e-05,1.18e-06,7.57e-10,2.95e-09,3.96e-06,2.18e-07,1.68e-10,2.76e-10,6.54e-07,1.29e-08,1.53e-10,1.61e-10
2015-06-11T19:29:23,2015-06-11T19:30:12,2015-06-11T19:29:37,5.81,5.56,19.02,19.97,1.44,0.25,0.95,668.0,0.0,0.0,0.013,0.000111,2.34e-08,7.72e-07,0.00482,4.35e-06,9.58e-10,6.69e-07,0.000233,2.07e-06,2.8e-10,1.39e-08,1.24e-06,2.74e-10,1.72e-10,1.73e-10
2015-06-12T13:01:44,2015-06-12T13:02:57,2015-06-12T13:02:28,5.75,5.84,18.17,18.47,0.47,-0.09,0.31,1356.0,0.0,0.0,0.0194,3.61e-05,1.01e-07,1.16e-06,0.00358,5.51e-06,9.7e-10,4.96e-07,9.56e-05,1.49e-07,5.45e-10,5.7e-09,1.26e-06,2.3e-09,1.72e-10,1.75e-10
2015-06-12T22:32:28,2015-06-12T22:33:17,2015-06-12T22:32:46,5.99,5.93,19.1,19.43,0.51,0.06,0.33,1212.0,0.0,0.0,0.000703,4.48e-06,1.25e-08,4.2e-08,0.005,4.46e-06,1.34e-09,6.92e-07,5e-06,4.38e-09,2.42e-10,2.98e-10,1.25e-06,2.86e-10,1.72e-10,1.73e-10
2015-07-04T17:02:56,2015-07-04T17:04:03,2015-07-04T17:03:25,5.25,5.24,19.38,19.86,0.66,0.02,0.48,464.0,0.0,0.0,0.00442,6.31e-06,4.11e-09,2.64e-07,1.47e-05,2.53e-08,6.38e-10,2.03e-09,1.48e-05,2.11e-07,1.92e-10,8.83e-10,1.19e-06,4.74e-10,1.63e-10,1.64e-10
2015-12-15T04:29:02,2015-12-15T04:29:26,2015-12-15T04:29:03,4.77,4.1,10.55,11.55,1.33,0.67,1.0,174.0,0.0,39.0,0.319,0.00887,5.15e-08,1.9e-05,0.663,0.0112,1.49e-07,9.95e-05,0.000219,1.45e-05,2.69e-10,1.3e-08,0.00022,3.57e-06,2.12e-10,3.3e-08
2016-01-20T19:46:47,2016-01-20T19:47:46,2016-01-20T19:47:18,5.77,5.78,10.45,10.41,0.07,-0.01,0.05,287.0,0.0,7.0,1.67,0.0601,1.51e-07,9.98e-05,0.22,0.00248,1.36e-08,3.05e-05,0.0146,0.00077,5.52e-10,8.68e-07,0.000684,1.54e-05,1.83e-10,9.47e-08
2016-01-21T22:46:18,2016-01-21T22:47:17,2016-01-21T22:46:44,5.91,5.99,10.44,10.29,0.25,-0.09,0.15,944.0,0.0,194.0,9.72,0.158,3.68e-06,0.000583,0.0133,0.00181,1.21e-08,1.83e-06,0.0239,0.000578,8.23e-09,1.44e-06,3.07e-06,6.46e-08,1.78e-10,4.22e-10
2016-05-26T09:53:25,2016-05-26T09:55:09,2016-05-26T09:53:56,3.39,3.85,9.35,10.18,0.91,-0.46,0.83,197.0,0.0,7.0,0.00147,2.47e-06,1.65e-09,1.17e-07,2.74e-06,8.17e-09,6.54e-10,8.38e-10,2.98e-06,7.58e-09,1.61e-10,2.37e-10,4.85e-07,2.1e-10,1.47e-10,1.48e-10
2016-05-30T10:50:42,2016-05-30T10:51:26,2016-05-30T10:51:21,5.21,6.33,7.22,7.79,1.41,-1.12,0.58,560.0,0.0,43.0,2.66,0.102,1.99e-07,0.000158,2.01,0.04,2.29e-07,0.000278,0.000316,7.42e-05,2.69e-10,1.88e-08,0.000257,5.96e-05,1.81e-10,3.56e-08
2016-08-16T23:26:03,2016-08-16T23:27:41,2016-08-16T23:27:02,4.46,4.47,1.26,1.54,0.33,-0.01,0.28,564.0,2646.0,0.0,1.2,0.0381,6.64e-08,7.19e-05,1.6,0.065,5.57e-09,0.000261,0.000217,2.28e-05,1.89e-10,1.3e-08,0.00117,3.13e-05,1.55e-10,1.91e-07
