Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2015-03-25T11:43:33,2015-03-25T11:44:02,2015-03-25T11:43:59,5.81,5.9,20.36,19.39,1.49,-0.09,0.97,248.0,0.0,15.0,0.0181,0.0012,1.24e-09,1.08e-06,0.00014,2.69e-06,6.29e-10,1.95e-08,8.78e-05,6.4e-06,1.38e-10,5.24e-09,6.92e-07,2.15e-09,8.33e-11,9.59e-11
2015-06-11T19:26:23,2015-06-11T19:27:17,2015-06-11T19:26:49,5.85,5.76,19.06,19.97,1.39,0.09,0.91,758.0,0.0,0.0,0.000601,2.81e-06,1.3e-08,3.59e-08,1.18e-05,7.76e-09,6.35e-10,1.63e-09,5.47e-06,2.03e-08,1.37e-10,3.26e-10,5.87e-07,1.33e-10,8.07e-11,8.14e-11
2015-11-18T09:51:37,2015-11-18T09:52:56,2015-11-18T09:52:11,5.81,5.82,13.21,13.19,0.07,-0.01,0.03,272.0,0.0,0.0,0.00365,1.86e-05,1.54e-08,2.18e-07,5.6e-06,3.35e-09,6.05e-10,7.77e-10,0.000123,6.67e-07,1.61e-10,7.31e-09,5.71e-07,1.38e-10,7.87e-11,7.93e-11
2015-12-12T12:48:47,2015-12-12T12:49:17,2015-12-12T12:49:15,5.86,5.29,11.86,12.67,1.28,0.57,0.93,211.0,0.0,0.0,0.0587,0.000126,3.1e-07,3.5e-06,0.0114,0.000139,7.51e-09,1.58e-06,0.000197,3.97e-07,1.63e-09,1.17e-08,3.33e-05,2.83e-07,9.67e-11,4.62e-09
2015-12-12T14:24:33,2015-12-12T14:25:41,2015-12-12T14:25:14,5.76,6.13,12.84,12.01,1.36,-0.37,0.73,147.0,0.0,0.0,0.0505,0.00012,5.81e-07,3.02e-06,0.00955,0.000187,3.53e-08,1.32e-06,0.000269,4.15e-07,3.66e-09,1.61e-08,3.85e-05,2.59e-07,2.28e-10,5.32e-09
2016-01-14T19:02:42,2016-01-14T19:03:56,2016-01-14T19:03:18,5.69,5.67,11.08,10.48,0.9,0.02,0.6,180.0,0.0,0.0,0.076,0.00717,4.25e-08,4.54e-06,0.0178,0.00062,3.55e-09,2.47e-06,0.000289,2.62e-05,4.07e-10,1.72e-08,2.48e-05,1.44e-06,8.48e-11,3.43e-09
2016-01-20T19:42:52,2016-01-20T19:43:51,2016-01-20T19:43:24,5.74,5.66,10.69,10.42,0.42,0.07,0.28,250.0,0.0,0.0,0.935,0.0341,9.68e-08,5.59e-05,0.181,0.0021,3.58e-08,2.51e-05,0.00659,0.000272,6.54e-10,3.94e-07,0.000548,7.46e-06,1e-10,7.61e-08
2016-01-21T21:08:03,2016-01-21T21:09:02,2016-01-21T21:08:40,5.61,5.43,9.41,10.26,1.24,0.18,0.85,288.0,0.0,63.0,5.33,0.265,3.83e-07,0.000318,0.838,0.0227,8.27e-08,0.000116,0.015,0.000867,1.28e-09,8.93e-07,0.000569,2.69e-05,1.25e-10,7.87e-08
2016-01-21T22:42:23,2016-01-21T22:43:17,2016-01-21T22:42:49,5.88,5.87,10.47,10.28,0.29,0.0,0.19,923.0,0.0,119.0,6.89,0.118,9.98e-07,0.000411,0.0386,0.0115,6.16e-09,5.36e-06,0.0171,0.000389,1.98e-09,1.02e-06,6.67e-06,5.27e-07,8.7e-11,9.25e-10
2016-08-14T00:26:23,2016-08-14T00:27:46,2016-08-14T00:27:01,4.63,4.59,1.04,1.59,0.66,0.04,0.55,444.0,0.0,3.0,0.174,0.0093,1.47e-08,1.43e-05,0.0206,0.000754,6.27e-10,3.92e-06,4.07e-05,1.69e-07,1.34e-10,3.35e-09,7.9e-07,2.46e-07,7.39e-11,1.51e-10
