start_time,end_time,n_chorus,mean_chorus_repetition,median_chorus_repetition,std_chorus_repetition
2015-12-15 04:26:56.326,2015-12-15 04:28:22.040,82,0.283756776556777,0.277942857142857,0.13308669153383
2016-01-20 19:46:47.755,2016-01-20 19:47:51.428,19,0.847542857142857,0.546742857142857,0.969589891507892
2016-01-21 22:46:23.265,2016-01-21 22:47:17.142,113,0.914285714285714,0.533942857142857,0.809888361991093
2016-08-25 01:02:33.061,2016-08-25 01:03:22.040,12,0.696076190476191,0.299885714285715,0.815622801975301
2017-07-01 20:21:50.204,2017-07-01 20:23:09.795,26,0.850451948051948,0.9728,0.336307051570097
2017-07-21 18:56:13.469,2017-07-21 18:57:31.836,4,NaN,NaN,NaN
2017-11-21 20:01:19.591,2017-11-21 20:03:28.163,16,0.738481632653061,0.561371428571429,0.580843040088377
2017-11-22 13:22:23.265,2017-11-22 13:23:51.428,96,0.486690909090909,0.429714285714286,0.308381356486248
2017-11-28 04:06:37.959,2017-11-28 04:07:56.326,5,2.07238095238095,1.70422857142857,1.18825818582936
2018-06-26 04:16:42.857,2018-06-26 04:17:51.428,20,0.424025396825397,0.237714285714285,0.598044618529115
2018-08-13 04:26:47.755,2018-08-13 04:27:12.244,73,0.448997402597403,0.228571428571428,0.653477231297009
2018-09-22 14:28:33.061,2018-09-22 14:29:12.244,115,0.31762962962963,0.246857142857143,0.320819806011792
2018-09-22 21:23:57.551,2018-09-22 21:24:41.632,23,0.552421052631579,0.266971428571429,0.851618389879612
